No,Name,Phone,Address,Type
41,Laura Ashley,3332008009,"1 Pepys Street, Fenchurch Street, London, EC3N 2NU",Tool Hire Services
42,Immersive Experiences,0800 311 8360,"86-90 Paul St, Liverpool Street, London, EC2A 4NE",Air Purification Systems
43,One Abacus,020 8670 7595,"Shakespeare Business Centre 245A, Coldharbour Lane, Stockwell, London, SW9 8RR",Accounting Activities
44,El Mojito's,020 8850 2270,"12 Well Hall Rd, Eltham, London, SE9 6SF",Restaurant - Mexican
45,Good News Glazing,07939 435 452,"Flat 22, Alfred Butt House, Holdernesse Rd, Tooting, London, SW17 7RQ",Glaziers
46,Gb Roofing,020 8003 3226,"34 Scarsbrook Rd, Blackheath, London, SE3 8AF",Roofing Contracting Services
47,Mendes Restaurant,020 3538 3340,"14 Market Place, Acton, London, W3 6QS",Restaurants
48,Ace Discos,0800 138 8168,"Noel Coward House, 65 Vauxhall Bridge Road, Westminster, London, SW1V 2SW",Mobile Disco Operators
49,Glorious Colour,07516 086 128,"12 Dale Green Rd, New Southgate, London, N11 1DL",Hairdressers (ladies)
50,Educational Network It Solutions Ltd,07969 790 172,"94 Kirkdale, Sydenham, London, SE26 4BG",Computer Services
51,A.K Locksmiths Ltd,020 7435 9305,"56, Mill Lane, Kilburn, London, NW6 1NJ",Locksmiths
52,Bellamy Central,0800 083 5571,"Market Place For Health & Wellbeing, St Mary's Community Centre, Upper St, Islington, London, N1 2TX",Wedding Services
53,Fairford Leasing Ltd,020 7317 3000,"5, Fitzhardinge Street, West Central, London, W1H 6ED",Leasing Companies
54,Fortech Fire & Security Solutions Ltd,020 7060 3875,"86-90 Paul St, Liverpool Street, London, EC2A 4NE",Security Activities
55,Mtech Garage,07779 792 979,"Unit 19 Capitol Way, The Hyde, London, NW9 0EQ",Motor Vehicle Mechanics
56,Crowns Digital,0203 222 5464,"241A Bethnal Green Rd, Bethnal Green, London, E2 6AB",Advertising Agency Services
57,East London Plumbing Ltd,020 8539 3366,"460 High Rd Leyton, Leyton, London, E10 6QE",Bathroom Planners And Furnishers
58,Docklands Property Finder,020 3714 3525,"16 Beaufort Court Admirals Way, Poplar, London, E14 9XL",Relocation Services
59,F A Vaughan Ltd,020 3674 9322,"70 Duckett Road, Finsbury Park, London, N4 1BW",Engineering Services
60,American Flooring,07903 268 717,"604A, Lea Bridge Rd, Leyton, London, E10 7DN",Flooring Services
61,D Lothian Mobile Hairdressing,07487 680 420,"74 Broadway, Stratford, London, E15 1NG",Hairdressers (ladies)
62,Drivetech Services,07966 147 452,"1160 High Road, Whetstone, London, N20 0RA",Employment And Recruitment Companies And Consultants
63,The Drinks Concierge,020 3561 7118,"44 Battersea Rise, Battersea, London, SW11 1EE",Take Away Meal Outlets
64,Aj Everclean,020 7101 5058,"56, Great North Way, Hendon, London, NW4 1HS",Cleaning Contracting Domestic
65,Ocean Hair & Beauty,020 7610 5210,"196 King Street Hammersmith, Hammersmith, London, W6 0RA",Hairdressers (ladies)
66,J & E Con's Ltd,07932 331 816,"134 Hoe St, Walthamstow, London, E17 4QR",Stonemasons
67,Help Hear Ltd,07450 247 244,"24 Carysfort Rd, Stoke Newington, London, N16 9AL",Hearing Aid Suppliers
68,Waterloo Plumbers,020 7351 0000,"64 Southwark Bridge Road, Waterloo, London, SE1 0SA",Plumbers
69,Lej Tradings,07581 033 301,"Unit 10 Kynoch Rd, Upper Edmonton, London, N18 3BD",Car Radio Dealers
70,Chiswick Smiles,020 8994 1022,"100 Chiswick High Road, Chiswick, London, W4 1SH",Dentists
71,Bramah Security Centres Ltd,020 7637 8500,"7 Goodge Place, West Central, London, W1T 4SF",Locksmiths
72,Latina Zumba Classes,07878 357 833,"33 Seymour Place, West Central, London, W1H 5AU",Fitness Consultants
73,Elect Club Personal Introduction Agency,020 3714 5375,"71-75, Shelton Street, Strand, London, WC2H 9JQ",Counselling & Advice Services
74,R A Science,07816 245 474,"344-354 Gray's Inn Rd, Holborn, London, WC1X 8BP",Management And Business Consultants
75,Easy Fix House,07961 703 137,"Flat 13, Eden House, Este Rd, Battersea, London, SW11 2TN",Home Improvement
76,Collar Club Pet Sitters,020 8677 4033,"20A, Ellora Rd, Streatham, London, SW16 6JF",Pet Services
77,Chelsea Decorators,020 8715 2542,"Copperfield Court, 146-148, Worple Rd, West Wimbledon, London, SW20 8QA",Painting Contractors
78,Abercrombie & Fitch,0844 412 5750,"7 Burlington Gardens, West Central, London, W1S 3ES",Clothing Retailers
79,Jm Domestics Cleaning & Commercial Services Ltd,07577 998 316,"152 Edensor Gardens, Chiswick, London, W4 2RF",Cleaning Contracting Commercial
80,Hiscox,9142737400,"1 Pepys Street, Fenchurch Street, London, EC3N 2NU",Insurance - Other
81,Pk Utility Services Ltd,020 8211 3891,"56, Whitehouse Way, Southgate, London, N14 7LT",Drainage Contractors
82,Umrah Retreat,020 3322 6975,"Suite 2, 99A St. Vincent House, Station Rd, Chingford, London, E4 7BU",Tour Operators
83,Positive Nrg Ltd,0800 652 2921,"International House, 124, Cromwell Rd, Knightsbridge, London, SW7 4ET",Electrical Contractors And Electricians
84,Number One Carpet Cleaning,020 3632 3212,"17, Tildesley Rd, Putney, London, SW15 3AA",Carpet And Upholstery Cleaners
85,Innovations,07597 858 640,"6 Market Hall Myrtle Rd, East Ham, London, E6 1HY",Window Consultants
86,New Choice Cleaning,07415 787 019,"24 Colebrook Rd, Streatham, London, SW16 5QT",Cleaning Contracting Commercial
87,Zing Works Ltd,07551 868 416,"2 Pembridge Rd, Notting Hill, London, W11 3HL",Advertising Agency Services
88,Ultra Fit Solutions,07852 109 105,"The Gym Group, 15, Lett Rd, Stockwell, London, SW9 0AF",Fitness Consultants
89,Quinlans Multitrade Ltd,07711 943 331,"3 Kepler House Armitage Rd, Greenwich, London, SE10 0HF",Home Improvement
90,Shaw Trust,3452349675,"1 Pepys Street, Fenchurch Street, London, EC3N 2NU",Local Government
91,Belts Online,020 8013 0589,"Flat 27, 17, Nelson Walk, Bow, London, E3 3FR",Clothing Retailers
92,Leaf Cars,020 7987 5555,"10-16 Tiller Rd, Poplar, London, E14 8PX",Taxis
93,Tiger Roll Gymnastics Club,07710 519 730,"Harlesden Rd, Willesden, London, NW10 3RN",Sports Clubs
94,Adams Window,07449 844 333,"30, Downton Avenue, Brixton, London, SW2 3TR",Window Consultants
95,B 5 Furniture,07986 237 939,"26 Cromer Street, Holborn, London, WC1H 8DY",Furniture Retail Outlets
96,Oki Doki Nails & Beauty,020 7538 0770,"Unit 1, Westward Parade, Pepper St, Poplar, London, E14 9DZ",Beauty Salons
97,Slav Amour Ltd,020 3633 2440,"International House, 24, Holborn Viaduct, Central, London, EC1A 2BN",Advertising Agency Services
98,Hello Junk,07462 589 098,"10 Barley Mow Passage, Chiswick, London, W4 4PH",Waste Disposal
99,Chuckhipo Ltd,07764 434 892,"20-22 Wenlock Rd, Islington, London, N1 7GU",Cosmetics & Beauty Products Retailer
100,Airunnesa Ltd,07747 187 172,"Kemp House, 160, City Rd, Central, London, EC1V 2NX",Management And Business Consultants
101,Network London,0844 884 5196,"100 Clements Road, Rotherhithe, London, SE16 4DG",Computer Security
102,Smile Care Agents Ltd,020 3784 7887,"1St Floor, 707, High Rd, North Finchley, London, N12 0BT",Doctors
103,Cool Creative,020 7591 0400,"Kings Walk Mall, 122, Kings Rd, Chelsea, London, SW3 4TR",Hairdressers (ladies)
104,Exclusive Printers Ltd,020 3538 7115,"Unit 12 80-86, St. Mary's Rd, Walthamstow, London, E17 9RE",Graphic Designers
105,Kepos Systems,0800 689 1030,"10 Gunton Rd, Tooting, London, SW17 9EL",Cash Register And Epos Equipment
106,Caring Lane Ltd,020 3489 7060,"Office 2, Crown Industrial Estate, 71-73 Nathan Way, Thamesmead, London, SE28 0BQ",Home Care And Help Services
107,Laurence London,020 8529 7749,"100 Station Rd, Chingford, London, E4 7BA",Hairdressers (ladies)
108,Ogar Technology Ltd,0843 289 7943,"Suite 11 Penhurst House, 352, Battersea Park Rd, Battersea, London, SW11 3BY",Security Activities
109,Abraham Scaffolding,020 7856 0467,"1 Alie St, Aldgate, London, E1 8DE",Scaffolds And Work Platform Erectors
110,Hollister Co.,020 8749 9694,"Westfield London Shopping Centre, Ariel Way, Shepherd's Bush, London, W12 7GF",Clothing Retailers
111,Hollister Co.,020 8519 6860,"Westfield Stratford City, The Arcade, Stratford, London, E20 1EQ",Clothing Retailers
112,Hollister Co.,020 8203 4926,"Prince Charles Drive, Hendon, London, NW4 3FP",Clothing Retailers
113,Creative Window Tint,07538 656 080,"44 Meyrick Rd, Willesden, London, NW10 2EJ",Window Tinting
114,Root & Branch,07580 287 583,"Flat 37, Hawkshead, Stanhope St, Camden Town, London, NW1 3RJ",Genealogical Organisations And Services
115,Mjv Commercial,07842 680 126,"28 Arch St, Waterloo, London, SE1 6AS",Photographers (general)
116,Abercrombie Kids,020 7287 2747,"3 Savile Row, West Central, London, W1S 3PB",Clothing Retailers
117,Automatic Driving Lessons With Mike,07943 884 528,"8 Polebrook Rd, Blackheath, London, SE3 8QR",Driving Schools
118,Quality Roofing & Renovations Ltd,020 8485 8458,"20-22 Wenlock Rd, Islington, London, N1 7TA",Roofing Contracting Services
119,Kinship Therapy,07976 845 208,"32 Woodington Close, Eltham, London, SE9 5BJ",Physiotherapists
120,N C Bros,07581 715 251,"11 Prospect Close, Sydenham, London, SE26 6LB",Plumbers
121,Tff Group,07944 581 259,"130 Old St, Central, London, EC1V 9BD",Investment Companies And Vehicles
122,Renaissance,07905 315 887,"1 1 Lilian Baylis House, Canonbury Park South, Islington, London, N1 2JQ",Building Construction Contractors
123,Citicom Ltd,020 8617 8149,"7 Arlington Parade Brixton Hill, Brixton, London, SW2 1RH",Computer Repair And Maintenance Services
124,Christyle By Christelle,07404 318 008,"20 Hathaway Crescent, Manor Park, London, E12 6LR",Hairdressers (ladies)
125,John Nodes Funeral Service,020 8993 8885,"Unit 1 Vision Industrial Park, Kendal Avenue, East Acton, Acton, London, W3 0AF",Funeral Services
126,Atlantic Computer Repairs,020 8291 2223,"217 Devonshire Road, Forest Hill, London, SE23 3NJ",Printers Services And Supplies
127,Fonehouse,0800 054 2355,"17 Cockspur Street, Westminster, London, SW1Y 5BL",Mobile Phone Suppliers
128,Richmond Dental Hygienist,020 3441 8182,"46 Sheen Lane, Mortlake, London, SW14 8LP",Dentists
129,Uniqueblend Cosmetics,020 3612 2403,"14 Glover Close, Abbey Wood, London, SE2 9DX",Cosmetics & Beauty Products Retailer
130,Salahuddin Hajj & Umrah,020 3737 5683,"220 Edgware Rd, Paddington, London, W2 1DH",Travel Agency Activities
131,London Clothing Clearance,07840 542 294,"36B Kensington Church St, Kensington, London, W8 4BX",House Clearance Services
132,Paula & Dragos,07889 449 804,"Flat 4, 79, Westbury Avenue, Wood Green, London, N22 6SA",Cleaning Contracting Domestic
133,Quick Flame,07494 740 426,"4 Raven Rd, Woodford, London, E18 1HB",Plumbers
134,See Your City,020 8123 4081,"3Rd Floor, 207, Regent St, West Central, London, W1B 3HH",Tour Operators
135,Juxtablock.Com,020 3637 5814,"Bonhill St Shoreditch, Liverpool Street, London, EC2A 4BX",Property Maintenance Services
136,Monster Tuning - Uk Remapping Ltd,0845 226 7626,"20-22 Wenlock Rd, Islington, London, N1 7GU",Motor Vehicle Mechanics
137,Local Locksmith 4U,020 7866 2185,"57 Otter Close, Stratford, London, E15 2PZ",Locksmiths
138,Efeteach Maths Tutoring,07445 730 724,"Palmer House Lubbock St, New Cross, London, SE14 5HX",Further Education Schools And Colleges
139,Folly Mixtures,07828 772 338,"W6 Gym, Arch 200, Prebend Gardens, Hammersmith, London, W6 0XT",Corporate Entertainment And Hospitality
140,Yasika Sk,07500 006 975,"Flat 4 Rochester Court, Wakemans Hill Avenue, The Hyde, London, NW9 0TR",Car Radio Dealers
141,Security Risk Specialists,02030 044 189,"First Floor, 1 East Poultry Avenue, Farringdon, Central, London, EC1A 9PT",Security Activities
142,Williams & Associates,07956 679 785,"4 Mayhew Close, Chingford, London, E4 8BB",Training Services
143,Tooting Shopping Mall,07792 040 146,"180-186 Upper Tooting Rd, Tooting, London, SW17 7ER",Shopping Centres
144,Home Improvement Services,07922 337 892,"13 Ashbourne Grove, East Dulwich, London, SE22 8RN",Home Improvement
145,Rojen Apartments,020 8981 8252,"Unit P5-P7, 221, Grove Rd, Bow Wharf, Bow, London, E3 5SN",Estate Management Services
146,Solutions 4 U Recruitment,020 8144 9025,"194B High St North, East Ham, London, E6 2JA",Employment And Recruitment Companies And Consultants
147,Efficient Home Energy,020 3488 1899,"20-22 Wenlock Rd, Islington, London, N1 7GU",Electrical Contractors And Electricians
148,Desserts & Sweets Ltd,07984 027 222,"77 Green St, Forest Gate, London, E7 8JF",Manufacturers Agents
149,Dbs Garage Ltd,020 7041 8264,"Unit 3, Kynoch Rd, Upper Edmonton, London, N18 3BD",Motor Vehicle Mechanics
150,Concrete Polishers Of London,07557 808 061,"Unit 1 Georgiou Business Park, Second Avenue, Upper Edmonton, London, N18 2PG",Building Construction Contractors
151,Belle Noir,07484 755 081,"Suite S0377, 265-269, Kingston Rd, Wimbledon, London, SW19 3NW",Wigs And Hairpieces
152,Multiproof Ltd,07837 530 813,"17 Boundfield Rd, Catford, London, SE6 1PR",Window Consultants
153,Eats Roots & Leaves,07449 111 379,"196-200 York Way, Holloway, London, N7 9AX",Restaurants
154,Bagseyed,01922 510 890,"130 Old St, Central, London, EC1V 9BD",Clothing Retailers
155,Alarms Are Us,0203 239 4557,"71 Shelton Street, Strand, London, WC2H 9JQ",Security Equipment Installers
156,Flat Pack Ninja,020 3291 2529,"Flat 32 Fletcher Court, Ingestre Rd, Kentish Town, London, NW5 1XE",Furniture For Home And Office
157,L.Dentec,020 8693 8860,"2A, Zenoria St, East Dulwich, London, SE22 8HP",Dentists
158,Anglo,020 7430 1503,"30, St. Cross St, Central, London, EC1N 8UH",Restaurants
159,Daiva's Hair Studio,020 8305 2315,"25 Greenwich South Street, Greenwich, London, SE10 8NT",Hairdressers (ladies)
160,Juice Jealousy,07983 001 788,"5 Cambridge Close, Wood Green, London, N22 5PT",Health Food Retailers
161,It Daemon,07786 310 990,"86A Westow Hill, Upper Norwood, London, SE19 1SB",Computer Repair And Maintenance Services
162,Karppol,07577 465 862,"25, Ellora Rd, Streatham, London, SW16 6JG",Home Improvement
163,Alice In Tattooland,020 3441 3218,"The Basement, 38, Romford Rd, Stratford, London, E15 4BZ",Tattoo Artists
164,Iq Simply Consulting Ltd,020 8935 5570,"1 Cornhill, Fenchurch Street, London, EC3V 3ND",Business Services
165,Adana Graphic Supplies Ltd,020 7837 6353,"18 City Rd, Central, London, EC1Y 2AF",Lithographic Printers
166,Exclusive Car Service,020 7251 5555,"221 Old St, Central, London, EC1V 9HE",Taxis
167,Sparkles Cleaning Services,07938 992 228,"8 Wentworth Close, Thamesmead, London, SE28 8QW",Cleaning Contracting Domestic
168,A W Hanson Images,020 7374 8300,"Unit 6, Tabernacle Court, 16 - 28 Tabernacle Street, Liverpool Street, London, EC2A 4DD",Artists
169,Principle Plumbing & Heating,020 7859 4608,"2 South Ealing Rd, Ealing, London, W5 4QA",Plumbers
170,W12 Dental & Implant Centre,020 8396 7316,"67 Askew Rd, Shepherd's Bush, London, W12 9AH",Dentists
171,Quarto Colour,020 7729 0006,"Unit 2 Huntingdon Estate, Bethnal Green Rd, Aldgate, London, E1 6GY",Lithographic Printers
172,Your Local Handyman,07799 796 037,"32 Pleydell Avenue, Upper Norwood, London, SE19 2LP",Home Improvement
173,Vega Beauty & Laser Clinic,020 8695 5980,"17 Brownhill Rd, Catford, London, SE6 2HG",Hospitals
174,Bobby's Gardening Services Ltd,07961 546 929,"34 Sheerness Mews, Victoria Dock, London, E16 2SR",Landscape Contractors
175,Electric Frog Ltd,0845 680 9055,"113, Welham Rd, Streatham, London, SW16 6QH",Security Equipment Suppliers And Manufacturers
176,Gold Star Stationery Supplies,020 7867 3781,"27 Old Gloucester St, Holborn, London, WC1N 3AX",Paper And Paperboard Suppliers
177,My Magic Removals,07492 284 949,"35 Cool Oak Lane, The Hyde, London, NW9 7BH",Removals And Storage Activities (domestic)
178,Richmond Hearing Care,020 8004 7991,"269 Upper Richmond Rd West, Mortlake, London, SW14 8QS",Hearing Aid Suppliers
179,West 1 Dental Clinic,0203 196 0040,"100 Harley St, West Central, London, W1G 7JA",Dentists
180,Capital Locksmiths,020 8361 1400,"162 Oakleigh Rd North, Whetstone, London, N20 0UG",Locksmiths
181,Dual Fix Ltd,07449 311 916,"Flat 3, 65, Warminster Rd, South Norwood, London, SE25 4FD",Heating Contractors
182,Pro Elite Service Ltd,07546 196 052,"31 Topham Square, Tottenham, London, N17 7HL",Towing Services
183,London Recruitment Agency,07913 650 420,"Gateway Business Centre 210, Church Rd, Leyton, London, E10 7JQ",Security Activities
184,Aqua-Steam Generators Ltd,020 8542 2255,"Unit 19, Windsor Park, 50, Windsor Avenue, Wimbledon, London, SW19 2TJ",Saunas Activities Of And Establishments
185,Np Mobile Mechanics,07493 485 791,"36 Dunkirk St, West Norwood, London, SE27 9JQ",Motor Vehicle Mechanics
186,The Body Therapist Uk,07864 344 121,"Hutchins Close, Stratford, London, E15 2JE",Physiotherapists
187,Acctax Consultancy Ltd,020 3411 2079,"Stratford Advice Arcade, 107, The Grove, Stratford, London, E15 1HP",Accounting Activities
188,Morrisons,3001232040,"17 Cockspur Street, Westminster, London, SW1Y 5BL",Beer Wine And Spirit (wholesale)
189,John Lewis Plc,0870 218 3798,"52 Fenchurch Street, Fenchurch Street, London, EC3M 3JY",Baby And Nursery Equipment
190,Intu Properties Plc,3333443179,"1 Pepys Street, Fenchurch Street, London, EC3N 2NU",Baby And Nursery Equipment
191,Waadplus Ltd,07494 792 277,"Kemp House, 152-160, City Rd, Central, London, EC1V 2NX",Web Site Design And Development
192,The May Fair,020 7769 8200,"17 Cockspur Street, Westminster, London, SW1Y 5BL",Saunas Activities Of And Establishments
193,Geeks Mobile Tyre Services,07894 473 771,"Georgian Court Vivian Avenue, Hendon, London, NW4 3XD",Tyre Dealers
194,Star Primary School,020 7476 5336,"Hilda Rd, Victoria Dock, London, E16 4NH",Dog Training
195,Mindlink Language Services Ltd,07908 324 067,"Kemp House, 152-160, City Rd, Central, London, EC1V 2NX",Translation Activities
196,Anglo Pacific International Plc,020 8965 1234,"5 - 9 Willen Field Road, Park Royal, Willesden, London, NW10 7BQ",Shipping Companies
197,Mckenzie Vans Removal Contractors,07810 753 222,"109 Brookdale Rd, Catford, London, SE6 4JP",Removals And Storage Activities (domestic)
198,Muhit & Co,020 7790 3331,"80A Ashfield Street, Unit 4, Aldgate, London, E1 2BJ",Accounting Activities
199,Pump Aid,020 8106 2100,"55, Philpot Street, Aldgate, London, E1 2JH",Planning Supervisors
200,The Outside Edge Theatre Company,020 7371 8020,"61, Philpot Street, Aldgate, London, E1 2JH",Theatrical Presentation Companies
201,Mastadon C,020 3397 8446,"55, Philpot Street, Aldgate, London, E1 2JH",Database Development Services
202,South Dental,020 7377 7067,"43, Ashfield Street, Aldgate, London, E1 2AH",Dentists
203,Eden Caterers Ltd,020 7324 2251,"Fielden House, Stepney Way, Aldgate, London, E1 2JL",Caterers
204,University College London,020 8954 0268,"Estates Department, Whitehcapel Campus, 29 Ashfield Street, Aldgate, London, E1 2AJ",
205,Gallery 46 Limited,020 3645 5062,"46, Ashfield Street, Aldgate, London, E1 2AJ",Arts Centres
206,Medical Research Council,01235 841 000,"32 Newark Street, Aldgate, London, E1 2AA",
207,Royal London Hospital Museum,020 7377 7608,"Flat 11, Elan Court, 36, Newark Street, Tower Hamlets, Aldgate, London, E1 2AA",Museums
208,Ual Short Courses Limited,020 7514 6000,"41, Walden Street, Aldgate, London, E1 2AL",Secondary Schools (local Authority)
209,Strettons Chartered Surveyors,020 7377 5955,"51, Walden Street, Aldgate, London, E1 2AL",Surveyors And Valuers
210,Smart Accounting Services Limited,07976 288 317,"Unit 6, 80A Ashfield Street, Aldgate, London, E1 2BJ",Accounting Activities Primarily Bookkeeping
211,Hellobyte Limited,020 7112 8829,"Unit 1, 80A Ashfield Street, Aldgate, London, E1 2BJ",Computer Software (development)
212,Gate Of India Restaurant Ltd,01673 844 366,"Unit 6 80A Ashfield Street, Aldgate, London, E1 2BJ",Restaurants
213,E1 Vapes Limited,020 7790 0121,"80A Ashfield Street, Aldgate, London, E1 2BJ",Mobile Phone Repairs
214,Whitechapel Estates Ltd,020 7702 2036,"80A, C/O Muhit & Co Ashfield Street, E1 2Bj, Aldgate, London, E1 2BJ",Estate Management Services
215,College Of Excellence Ltd,020 8575 5145,"Unit 6, 80A Ashfield Street, Aldgate, London, E1 2BJ",Education Services
216,Abc Bookkeeping & Accountancy Ltd,020 8617 3248,"82, Ashfield Street, Aldgate, London, E1 2BJ",Accounting Activities
217,Arnold Gym Gear Limited,020 7780 1746,"80A Ashfield Street, Aldgate, London, E1 2BJ",E-commerce
218,Dlm Capital Investors Ltd,020 7254 6751,"Unit 4, 80A Ashfield Street, Aldgate, London, E1 2BJ",Estate Management Services
219,Ranees Property Services Ltd,020 7247 2877,"80A Ashfield Street, Unit 4, Aldgate, London, E1 2BJ",Estate Management Services
220,Smm(Uk) Ltd,0845 463 1073,"80A Ashfield Street, Aldgate, London, E1 2BJ",Caterers
221,Motorcade Ltd,020 8503 1001,"Unit 6 80A Ashfield Street, Aldgate, London, E1 2BJ",Car And Commercial Vehicle Repairs
222,Community Believe London Ltd,020 8782 1770,"Unit 6 80A Ashfield Street, Aldgate, London, E1 2BJ",Residential Care Establishments
223,Altsplash Ltd,020 7856 0222,"80A Ashfield Street, Aldgate, London, E1 2BJ",Advertising Agency Services
224,Global Aid Trust,020 7422 7551,"80A, Ashfield Street, Tower Hamlets, Aldgate, London, E1 2BJ",Charities And Charitable Organisations
225,Originate Architecture Ltd,020 7790 1178,"80A, Ashfield Street, Tower Hamlets, Aldgate, London, E1 2BJ",Architects
226,Satin Ivy Laundry Service Limited,020 8644 1919,"Unit 4, 80A Ashfield Street, Muhit & Co, Aldgate, London, E1 2BJ",Dry Cleaners
227,Microtimes Ltd,020 8985 9990,"80A Ashfield Street, Aldgate, London, E1 2BJ",It Consultants
228,Madani Hajj Tours London Ltd,020 8150 6556,"Unit 10, 80A Ashfield Street, E1 2Bj, Aldgate, London, E1 2BJ",Tour Operators
229,The United Collection Limited,0203 239 5086,"Unit 5, 80A Ashfield Street, Aldgate, London, E1 2BJ",Clothing Wholesale And Suppliers
230,Cw Selection Limited,020 7043 2175,"Unit 4, 80A Ashfield Street, Aldgate, London, E1 2BJ",Employment And Recruitment Companies And Consultants
231,Radhuni Catering Limited,07487 229 524,"Unit 4, 80A Ashfield Street, Aldgate, London, E1 2BJ",
232,Canvass Productions Limited,07453 290 980,"Studio 12 80 Ashfield Street, Aldgate, London, E1 2BJ",Video Production Companies
