Title,ID,Job Code,Job Type,Opening,Experience,Qualification,Language,Location,Description,Apply Link
Technical Lead – .NET,14,588,Permanent,1,6 - 8 Years,BE/B.Tech/ME/M.Tech/MSc/MCA (IT/CE),English,Ahmedabad,"### Job Description
- Degree in computer science or information technology with Minimum 6-8 years of experience.
- Experience in Insurance Domain is preferable.
- Desire to learn and implement new technologies. Hands-on knowledge of different Client-side Javascript frameworks
- Strong knowledge of Angular JS, AWS, MS SQL, .Net Framework, C#.
- In-depth knowledge of design patterns, Software development principles, and practices",https://radixweb.com/careerform-experience?job_code=588&subject=Technical+Lead+–+.NET&emailid=job-0cfbe0fa-d79d-4442-9c3b-1f69b611558f-0@inbound.turbohire.co
Software Engineer – Laravel,15,630,Permanent,4,3 to 5 Years,BE/B.Tech/ME/M.Tech/MSc/MCA (IT/CE),English,Ahmedabad,"### Job Description
- 3 to 5 Years of working experience in PHP frameworks like Laravel and Codeigniter
- Excellent knowledge of laravel framework and experience building factories/facades/libraries
- Must have good knowledge of deployment and release cycle with PHP technology
- Have understanding of MySQL Database, OOPS
- knowledge of web technologies including HTML, CSS, JQuery, AJAX.
- Must have experience on Web Service and third party API integration
- Hands-on experience in Linux Environment (LAMP)
- Must have working experience with GIT and SVN.
- Knowledge of JQuery and JavaScript.
- Knowledge of ReactJs, Nodejs would be an advantage.",https://radixweb.com/careerform-experience?job_code=630&subject=Software+Engineer+–+Laravel&emailid=job-c90f7bcc-180d-4dda-b873-e01c765116e8-0@inbound.turbohire.co
Talent Acquisition Executive,16,619,Permanent,3,2 to 6 Years,MBA – HR or relevant field,English,Ahmedabad,"### Job Description
- An experienced Talent Acquisition Executive will collaborate with department managers on a regular basis and proactively identify current and future hiring needs. You should also be able to attract candidates using various sources, like social media networks and employee referrals. Our ideal Resource Recruitment Executive holds an academic HR background combined with work experience in screening, interviewing and assessing candidates, especially with IT Industry.",https://radixweb.com/careerform-experience?job_code=619&subject=Talent+Acquisition+Executive&emailid=job-8d6bed8c-4fcb-46e6-b4ec-f61c06a46310-0@inbound.turbohire.co
Software Engineer – React.Js,19,583,Permanent,3,3 to 5 Years,BE/B.Tech/ME/M.Tech/MSc/MCA (IT/CE),English,Ahmedabad,"### Job Description
- 3 to 5 Years of working experience in React.Js and React Ionic Framework.
- Experience with popular React.Js workflows (such as Flux or Redux)
- Experience with common front-end development tools such as Babel, Webpack, NPM, etc.
- Basic knowledge of Docker.
- Familiarity with RESTful APIs
- Have an understanding of MySQL Database, OOPS, or MongoDB.
- Knowledge of web technologies including HTML, CSS, JQuery, AJAX.
- Must have experience in Web Service and third party API integration
- Must have working experience with GIT and SVN.
- Experience with browser-based debugging and performance testing software.
- Excellent troubleshooting skills.",https://radixweb.com/careerform-experience?job_code=583&subject=Software+Engineer+–+React.Js&emailid=job-ef1f7e19-306d-4fb3-804b-d3fefa65a648-0@inbound.turbohire.co
Content Writer,20,622,Permanent,3,1 to 5 Years,Any graduate,English,Ahmedabad,"### Job Description
- Create content understanding the business context and target audience
- Work with content marketing strategists and create content as per the functional content calendar
- Create easily digestible content of exceptional quality for Web Pages, Blogs, Press Releases, White Papers, News Letters, Case Studies, Email Campaigns, and Brochures, etc",https://radixweb.com/careerform-experience?job_code=622&subject=Content+Writer&emailid=job-d4779e97-3569-44a0-9893-ea83c5382aa3-0@inbound.turbohire.co
Trainee Software Engineer – (.NET/PHP/QA/Nodejs/Reactjs),23,008,Permanent,100,Freshers,BE/B.Tech/ME/M.Tech/MSc/MCA - (IT/CE) 2022-23 Batch,English,Ahmedabad,"### Job Description
- Proficient in Angular, TypeScript, CSS, HTML, and writing cross-browser compatible code.
-  Hands on experience with Angular 4.0+</li><li>Knowledge of JavaScript MV-VM/MVC frameworks including Angular.
- Experience with RESTful services</li><li>Hand on and implements complex Angular based applications, directives, controllers, services
- Creating self-contained, reusable, and testable modules and components
- Critical thinker and problem-solving skills",https://radixweb.com/careerform-experience?job_code=008&subject=Trainee+Software+Engineer+–+(.NET/PHP/QA/Nodejs/Reactjs)&emailid=job-9cc5c609-e4de-462f-95a4-c0c3eda7e62a-0@inbound.justdropyourcv.in
Creative / Graphic Designer,24,645,Permanent,5,2 to 8 Years,B.Des/M.Des or any relevant field,English,Ahmedabad,"### Job Description
- We are looking for a supremely creative Graphic Design Professional with domain expertise across web and print. To be successful in this position, you’ll be a self-starter, capable of delivering brilliant creative ideas, and show amazing attention to detail. You’ll be the primary looking, Website/Landing pages/emailer Design, Social Media and Brand Creatives, overseeing print, user acquisition, and other forms of designs.",https://radixweb.com/careerform-experience?job_code=645&subject=Creative+/+Graphic+Designer&emailid=job-05c2ab7c-ba5a-4ee3-b77e-ad1f840f99ed-0@inbound.turbohire.co
Sr. Software Engineer – PHP,26,607,Permanent,3,1 to 5 Years,BE/B.Tech/BCA/ME/M.Tech/MSc/MCA with (IT/CE),English,Ahmedabad,"### Job Description
- 1 to 5 years of working experience as a PHP Developer/PHP Programmer
- Prior experience in working with PHP, PHP Core, Code igniter, Laravel, CakePHP, Symfony (Any Framework)
- Knowledge of AWS Cloud services
- Have an understanding of MySQL Database
- Excellent in OOPS concepts and implementation in projects
- Demonstrable knowledge of web technologies including HTML, CSS, JQuery, AJAX.
- Experience on Web Service and third party API integration
- Experience in Linux Environment (LAMP) will be an advantage.
- Good understanding of debugging and technical troubleshooting
- Good knowledge of deployment and release cycle with PHP technology",https://radixweb.com/careerform-experience?job_code=607&subject=Sr.+Software+Engineer+–+PHP&emailid=job-a3d1c040-2b73-46e3-bf5f-6975aae6818a-0@inbound.turbohire.co
Business Development Executive – Services,27,514,Permanent,2,3 to 4 Years,MBA Marketing / Any Relevant,English,Ahmedabad,"### Job Description
- Fluent Communication via E-mail, Phone & Chat in English
- Must possess strong sales & negotiation skills
- Prior experience of working with CRM
- Create Service Scope & Project Proposal documents
- Efficient use of Social Media to Retain, Engage & Find new prospects",https://radixweb.com/careerform-experience?job_code=514&subject=Business+Development+Executive+–+Services&emailid=job-82a9359e-250f-4080-8420-eca8132e5cf0-0@inbound.justdropyourcv.in
Software Engineer – C#,28,644,Permanent,1,3 to 6 Years,BE/B.Tech/ME/M.Tech – (EC/ IT/CE),English,Ahmedabad,"### Job Description
- Experience on Analysing, designing and developing application with object oriented structure along with experience in GUI.
- Hands on experience in Application Development tools like Visual studio 2008/2010/2012 and testing tools like Resharper.
- Object oriented programming (OOP) in C#
- Must have experience in Windows Desktop Application Development",https://radixweb.com/careerform-experience?job_code=644&subject=Software+Engineer+–+C#&emailid=job-b146245e-e66e-4496-9b1e-d7b9c58eb5cf-0@inbound.justdropyourcv.in
Full Stack Engineer,33,009,Permanent,5,2 to 4 Years,BE/B.Tech/ME/M.Tech/MSc/MCA (IT/CE),English,Ahmedabad,"### Job Description
- Minimum 2 years of working experience in programming and debugging web applications
- Extensive development experience in .net framework 4.0+, MSSQL 2008+
- Excellent knowledge of Object-Oriented Design / Development concepts
- Should be good in ORM (Entity framework or Entity framework Core)
- Good knowledge of HTML 5, CSS 3, C#, JavaScript, BootStrap 3.0, MVC 3+, Entity Framework, Asp&#x2E;Net, Angular JS/React.js
- Able to communicate with team members
- Must have work experience with Angular/React.js at least for 1+ years.",https://radixweb.com/careerform-experience?job_code=009&subject=Full+Stack+Engineer&emailid=job-b34c020e-e8ad-4ea2-8a00-a0388e50e72b-0@inbound.turbohire.co
Web Designer,35,010,Permanent,1,1 to 4 Years,BE/B.Tech/ME/M.Tech/MSc/MCA with (IT/CE),English,Ahmedabad,"### Job Description
- As a Web Designer at Radixweb, you will be part of a team responsible for the new development and maintenance of Web UI designs to provide users with a high-performant, scalable and modern product that responsively works on any device. You like to keep up with the latest trends in the front end and design world to ensure we are always using the best techniques possible. Beyond coding, you enjoy working in an evolving industry.",https://radixweb.com/careerform-experience?job_code=010&subject=Web+Designer&emailid=job-d298bfe1-f85d-410e-b085-a7a48357b455-1@inbound.turbohire.co
Senior Mobile Developer,50,634,Permanent,5,3 to 6 Years,BE/B.Tech/BCA/ME/M.Tech/MSc/MCA with (IT/CE),English,Ahmedabad,"### What Work Will You Do?

- As a Mobile developer, you’ll collaborate with internal teams to develop functional mobile applications, while working in a fast-paced environment. Ultimately, you will design and build the next generation of mobile applications.",https://radixweb.com/careerform-experience?job_code=634&subject=Senior+Mobile+Developer&emailid=job-35d7a4eb-8143-42a8-9cb3-369de2cc6ae4-0@inbound.justdropyourcv.in
Software Engineer – Magento,52,653,Permanent,2,2 to 4 Years,"BE/B.Tech/BCA/BSc/ME/M.Tech – (IT, CE)",English,Ahmedabad,"### What Work Will You Do? 
- As a Software Engineer at Radixweb, you will build and maintain eCommerce websites. you will be responsible for liaising with the design team, setting up Magento 1x and 2x sites, building modules and customizing extensions, testing the performance of each site, and maintaining security and feature updates after the installation is complete.",https://radixweb.com/careerform-experience?job_code=653&subject=Software+Engineer+–+Magento&emailid=job-d968ffc3-91f6-43d9-98ea-f97ab92bb11b-0@inbound.justdropyourcv.in
Solution Specialist,53,667,Permanent,2,0 – 1 Year   ,Any graduate,English,Ahmedabad,"### What Work Will You Do? 
- Solution Specialist responsibilities include resolving client queries, recommending solutions, and guiding product users through features and functionalities. To be successful in this role, you should be an excellent communicator who’s able to earn our clients’ trust.",https://radixweb.com/careerform-experience?job_code=667&subject=Solution+Specialist&emailid=job-7203635f-a3e8-4d4e-b7b4-09ad6a35cb8d-0@inbound.justdropyourcv.in
Junior Software Engineer – C#,54,686,Permanent,1, 0.6 – 2 Years,BE/B.Tech/ME/M.Tech-(IT/CE/EC/Electrical),English,Ahmedabad,"### What Work Will You Do?

As a Development Engineer at Radixweb, you will work with other team members on ongoing projects as per needs",https://radixweb.com/careerform-experience?job_code=686&subject=Junior+Software+Engineer+–+C#&emailid=job-fdaabb04-4e89-43bb-8fb7-ca2d5c0f0114-0@inbound.justdropyourcv.in
Junior Software Engineer – C++,55,685,Permanent,3, 0.6 – 2 Years,BE/B.Tech/ME/M.Tech-(EC/Electrical),English,Ahmedabad,"### What Work Will You Do?

As a Development Engineer at Radixweb, you will work with other team members on ongoing projects as per needs",https://radixweb.com/careerform-experience?job_code=685&subject=Junior+Software+Engineer+–+C++&emailid=job-7cf3a464-7571-4879-bcde-c31f5df6ba22-0@inbound.justdropyourcv.in
Trainee Technical Support Executive,56,648,Permanent,3,Fresher,Any graduate,English,Ahmedabad,"### What Work Will You Do?

As a Trainee Technical Support Executive at Radixweb, you will work with other team members on ongoing Support requirements as per needs",https://radixweb.com/careerform-experience?job_code=648&subject=Trainee+Technical+Support+Executive&emailid=job-4c2f0553-6dbe-4901-8ee9-359b49f2e596-0@inbound.justdropyourcv.in
Associate SEO Executive,61,688,Permanent,3,0-1 Year,"Link submission, SEO, Backlink, SEM, Key Word Analysis, Automation E-mail, Guest blog, Off page, On page, Link Building",English,"RadixWeb corporate office, Malabar County Road, Ahmedabad, Gujarat, India","### What Work Will You Do?

We are looking for an SEO executive to manage all search engine optimization and marketing activities. You will be responsible for managing all SEO activities such as content strategy, link building and keyword strategy to increase rankings on all major search networks. You will also manage all SEM campaigns on Google, Yahoo and Bing or any other relevant platforms in order to maximize ROI.",https://radixweb.com/careerform-experience?job_code=688&subject=Associate+SEO+Executive&emailid=job-ed2cff30-9ba9-4735-880c-14af7f03932d-0@inbound.justdropyourcv.in
PPC Strategist,62,695 ,Permanent,2,4-6 Years ,B.E /B.Tech/BCA/M.E/M.Tech/Msc-IT/MCA/MBA,English,Ahmedabad," ###How You Should Be? 
Radixweb is looking out for PPC Strategist. Who is an analytical expert who has the ability to manage campaign performance and the capability to dig into the data and define how to make the campaign successful.
",https://radixweb.com/careerform-experience?job_code=695 &subject=PPC+Strategist&emailid=job-0edc295f-bb3a-49a6-8569-cce661c01918-0@inbound.justdropyourcv.in
